"","ATEMP_SUMMER_HIST_HUC12","WOODY_VEG_PCT_HUC12","N_RED_DRYDEP_HUC12","HUC12_join","preds"
"431",18.88,65.15,0.995828168,40301080913,NA
"432",21.41,65.66,0.72512416,11000051003,NA
"433",22.54,80.92,0.582956762,50200050108,NA
"434",20.98,56.99,0.822097795,10700050203,NA
"435",29.5,63.73,0.877907877,31403010501,NA
"436",21.44,16.52,5.830894524,102300031302,NA
"437",27.2,79.6,1.195385788,30402060704,NA
"438",21.07,67.14,1.095671296,11000030103,NA
"439",19.12,79.52,0.597994129,50100010308,NA
"440",20.14,34.76,3.318284426,40500060708,NA
"441",22.24,9.5,4.605513367,41000040408,NA
"442",23.69,27.81,2.090305595,71300100703,NA
"443",19.84,94.7,0.525903928,20502050604,NA
"444",23.81,19.78,1.391303219,51201081602,NA
"445",20.47,7.02,3.341768159,70900020504,NA
"446",21.71,13.18,1.838046005,41000111101,NA
"447",28.76,17.2,1.212721545,31602040504,NA
"448",30.65,26.99,1.180611797,120602020302,NA
"449",23.04,26.72,1.562181519,51201080604,NA
"450",22.8,10.21,2.969807957,51202010904,NA
"451",21.55,27.41,3.134877122,70600061005,NA
"452",21.66,16.75,0.228774641,170200080709,NA
"453",20.11,13.84,2.301258813,40302011106,NA
"454",20.3,35.84,3.451716425,70400020903,NA
"455",25.94,41.35,4.957362755,110100010701,NA
"456",20.2,26.03,2.957183851,70300051105,NA
"457",22.2,50.07,0.905869984,20301050203,NA
"458",31.52,97.79,0.376802008,130700080202,NA
"459",22.18,2.15,2.643898127,41000050106,NA
"460",22.46,20.58,2.536222829,51201011602,NA
"461",28.52,58.53,1.171096152,30402020505,NA
"462",24.72,85.79,0.599952298,50702030505,NA
"463",27.14,45.02,1.183115481,30701030401,NA
"464",22.99,48.37,1.08338455,20401050908,NA
"465",22.07,4.56,2.795786811,41000050102,NA
"466",24.78,9.61,2.177017288,51201111903,NA
"467",25.65,50.1,1.607420729,51100010806,NA
"468",26.13,4.87,2.145760321,110300100108,NA
"469",27.33,83.19,1.104734769,111401080207,NA
"470",31.16,45.4,1.821800746,121002030502,NA
"471",22.96,19.2,2.042921219,50800011406,NA
"472",29.34,51.62,1.539808285,31402020610,NA
"473",29.27,81.18,1.18796618,31403020501,NA
"474",22.05,10.87,2.598837689,51201010804,NA
"475",20.09,61.21,1.106044135,41201010605,NA
"476",23.55,27.08,1.442390527,51201090907,NA
"477",28.95,0.17,6.090314965,180400020205,NA
"478",19.06,85.86,0.885994737,70300011202,NA
"479",19.96,83.32,0.946527428,50200060107,NA
"480",26.49,48.24,0.992420786,30501090302,NA
"481",21.22,8.7,2.561415984,70900021303,NA
"482",29.57,75.77,0.793449702,31402030204,NA
"483",21.86,70.25,1.396830103,50400030804,NA
"484",21.7,42.92,2.656740387,20503011001,NA
"485",26.81,44.25,0.996557243,30501070201,NA
"486",20.13,63.95,0.977259026,20501040908,NA
"487",25.08,80.62,0.651116308,50702030501,NA
"488",23.63,2.9,1.333515071,101800090402,NA
"489",23.15,89.13,0.796512796,50702020102,NA
"490",22.07,39.31,0.360616593,170200050203,NA
"491",20.72,15.14,5.628203463,70200071003,NA
"492",28.91,52.25,1.259374183,30502050301,NA
"493",20.35,55.74,1.973166161,70700031906,NA
"494",24.73,24.14,1.835427541,51202081509,NA
"495",28.35,50.85,1.500116729,30402020504,NA
"496",28.63,26.29,1.596524085,30501091403,NA
"497",20.85,64.73,0.800112328,10700050204,NA
"498",24.66,12.61,1.67913356,51201111303,NA
"499",18.05,92.04,0.881322838,40302020302,NA
"500",23.82,31.82,1.548600524,60101020307,NA
"501",23.04,16.94,3.873910853,70802090806,NA
"502",20.99,76.7,0.573102923,20401040704,NA
"503",23.49,46.45,1.609494357,51201090906,NA
"504",30.29,24.57,1.828552868,120602020604,NA
"505",21.76,30.76,1.276318168,50301030603,NA
"506",22.31,14.27,1.931983847,51202010110,NA
"507",22.58,18.69,3.140263426,102300031506,NA
"508",24.18,35.24,1.879579525,20503061713,NA
"509",29.7,89.2,0.721236405,121002010303,NA
"510",20.33,91.15,0.378552686,140100050102,NA
"511",26.34,71.35,1.189476862,110100060506,NA
"512",22.5,23.04,2.792827082,51201050104,NA
"513",19.06,45.05,2.194382942,171100130303,NA
"514",23.87,6.87,1.771892379,71300090806,NA
"515",26.17,10.49,1.231157433,30501090402,NA
"516",20.4,91.55,1.317050133,20502061201,NA
"517",24.76,24.42,1.40093584,71401060103,NA
"518",20.76,78.12,1.088732338,10900030201,NA
"519",19.32,78.44,0.784849758,20501011308,NA
"520",21.98,7.18,2.703594402,41000040606,NA
"521",14.23,87.31,0.597697847,140100010303,NA
"522",24.89,71,0.808689286,30101030703,NA
"523",26.49,40.59,1.499348256,20802071001,NA
"524",21.56,59.61,1.043258734,50301050308,NA
"525",22.92,3.64,2.708741296,51202011109,NA
"526",18.39,32.5,1.248530633,70101040404,NA
"527",20.32,39.17,1.075066312,20200041109,NA
"528",19.91,51.41,1.534061427,70700030704,NA
"529",21.61,26.35,1.025484357,101202030401,NA
"530",22.83,15.42,3.842457969,70801060601,NA
"531",22.98,21.51,2.719364252,70802060806,NA
"532",28.39,85.62,1.420896513,111401080307,NA
"533",31.22,70.78,1.138482727,31002080205,NA
"534",23,18.93,1.765017247,51201080503,NA
"535",20.12,49,1.074601366,50200060104,NA
"536",21.2,58.26,1.018223897,20503020506,NA
"537",22.02,14.08,1.91961841,41000030505,NA
